w_spatial,w_flow,w_audio,objective,objective_value,val_auc_roc,val_calibrated_threshold,val_calibrated_balanced_accuracy,val_calibrated_f1_lie,val_calibrated_macro_f1
0.13,0.1,0.77,auc_roc,0.7048816568047337,0.7048816568047337,0.5326583848932541,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.05,0.59,0.36,auc_roc,0.7048816568047337,0.7048816568047337,0.526794845539228,0.6794871794871795,0.5862068965517241,0.6264367816091954
0.09,0.07,0.84,auc_roc,0.7048816568047337,0.7048816568047337,0.5366589595226107,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.1,0.81,auc_roc,0.7048816568047337,0.7048816568047337,0.5361018420464297,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.1,0.8,auc_roc,0.7048816568047337,0.7048816568047337,0.5357017904532155,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.11,0.77,auc_roc,0.7046351084812624,0.7046351084812624,0.5324674520215051,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.13,0.12,0.75,auc_roc,0.7046351084812624,0.7046351084812624,0.5323959366121558,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.09,0.06,0.85,auc_roc,0.7046351084812624,0.7046351084812624,0.5368383884480976,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.09,0.14,0.77,auc_roc,0.7046351084812624,0.7046351084812624,0.5351809991819017,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.09,0.81,auc_roc,0.7046351084812624,0.7046351084812624,0.5359202782359356,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.11,0.79,auc_roc,0.7046351084812624,0.7046351084812624,0.5354832889654196,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.14,0.74,auc_roc,0.7046351084812623,0.7046351084812623,0.5320737533218793,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.08,0.17,0.75,auc_roc,0.7046351084812623,0.7046351084812623,0.5346944087125203,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.08,0.82,auc_roc,0.7046351084812623,0.7046351084812623,0.536138752230575,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.05,0.61,0.34,auc_roc,0.704388560157791,0.704388560157791,0.5249888764083636,0.6794871794871795,0.6564885496183206,0.6538256701579975
0.12,0.15,0.73,auc_roc,0.704388560157791,0.704388560157791,0.5319425115225493,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.08,0.27,0.65,auc_roc,0.704388560157791,0.704388560157791,0.5315678452303803,0.6858974358974359,0.5982905982905983,0.6348096348096348
0.1,0.03,0.87,auc_roc,0.704388560157791,0.704388560157791,0.537230912478882,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.04,0.86,auc_roc,0.704388560157791,0.704388560157791,0.5370125086689735,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.11,0.11,0.78,auc_roc,0.704388560157791,0.704388560157791,0.5354633792680247,0.6794871794871795,0.5585585585585585,0.614849749077937
0.12,0.03,0.85,auc_roc,0.704388560157791,0.704388560157791,0.5369518361443578,0.6794871794871795,0.5585585585585585,0.614849749077937
0.13,0.02,0.85,auc_roc,0.704388560157791,0.704388560157791,0.5367735918311664,0.6794871794871795,0.5585585585585585,0.614849749077937
0.11,0.2,0.69,auc_roc,0.7043885601577909,0.7043885601577909,0.531226506633191,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.08,0.8,auc_roc,0.7043885601577909,0.7043885601577909,0.5328611102955145,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.09,0.79,auc_roc,0.7043885601577909,0.7043885601577909,0.5327298953925792,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.1,0.78,auc_roc,0.7043885601577909,0.7043885601577909,0.5325986759619105,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.13,0.04,0.83,auc_roc,0.7043885601577909,0.7043885601577909,0.5333751386163388,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.05,0.6,0.35,auc_roc,0.7043885601577909,0.7043885601577909,0.5265527512487456,0.6794871794871795,0.5862068965517241,0.6264367816091954
0.08,0.26,0.66,auc_roc,0.7043885601577909,0.7043885601577909,0.5320984705061438,0.6826923076923077,0.5789473684210527,0.6250901225666907
0.09,0.28,0.63,auc_roc,0.7043885601577909,0.7043885601577909,0.5319562007511669,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.02,0.88,auc_roc,0.7043885601577909,0.7043885601577909,0.537449302003129,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.06,0.84,auc_roc,0.7043885601577909,0.7043885601577909,0.5365756585236989,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.12,0.78,auc_roc,0.7043885601577909,0.7043885601577909,0.5352647738555738,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.06,0.82,auc_roc,0.7043885601577909,0.7043885601577909,0.5362629372118154,0.6794871794871795,0.5585585585585585,0.614849749077937
0.12,0.07,0.81,auc_roc,0.7043885601577909,0.7043885601577909,0.5360332733427495,0.6794871794871795,0.5585585585585585,0.614849749077937
0.1,0.13,0.77,auc_roc,0.7041420118343197,0.7041420118343197,0.5350462452067246,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.11,0.04,0.85,auc_roc,0.7041420118343197,0.7041420118343197,0.5370594121691945,0.6794871794871795,0.5585585585585585,0.614849749077937
