w_spatial,w_flow,w_audio,objective,objective_value,val_auc_roc,val_calibrated_threshold,val_calibrated_balanced_accuracy,val_calibrated_f1_lie,val_calibrated_macro_f1
0.09,0.14,0.77,auc_roc,0.7046351084812624,0.7046351084812624,0.5351702033281327,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.11,0.79,auc_roc,0.7046351084812624,0.7046351084812624,0.5354639618098737,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.13,0.75,auc_roc,0.7046351084812623,0.7046351084812623,0.5322019222378731,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.14,0.74,auc_roc,0.7046351084812623,0.7046351084812623,0.5320705217123032,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.13,0.04,0.83,auc_roc,0.7046351084812623,0.7046351084812623,0.5333734975258508,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.05,0.6,0.35,auc_roc,0.7046351084812623,0.7046351084812623,0.5265352446585894,0.6794871794871795,0.5862068965517241,0.6264367816091954
0.08,0.17,0.75,auc_roc,0.7046351084812623,0.7046351084812623,0.5346828700304032,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.01,0.89,auc_roc,0.7046351084812623,0.7046351084812623,0.5376513196527958,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.02,0.88,auc_roc,0.7046351084812623,0.7046351084812623,0.5374325838685036,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.08,0.82,auc_roc,0.7046351084812623,0.7046351084812623,0.5361201691627502,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.07,0.81,auc_roc,0.7046351084812623,0.7046351084812623,0.5360117068141699,0.6794871794871795,0.5585585585585585,0.614849749077937
0.12,0.15,0.73,auc_roc,0.704388560157791,0.704388560157791,0.5319391211867333,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.08,0.27,0.65,auc_roc,0.704388560157791,0.704388560157791,0.531565138498942,0.6858974358974359,0.5982905982905983,0.6348096348096348
0.08,0.14,0.78,auc_roc,0.704388560157791,0.704388560157791,0.5353746163845063,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.03,0.87,auc_roc,0.704388560157791,0.704388560157791,0.5372138480842114,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.04,0.86,auc_roc,0.704388560157791,0.704388560157791,0.5369951122999191,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.11,0.03,0.86,auc_roc,0.704388560157791,0.704388560157791,0.5372370502352715,0.6794871794871795,0.5585585585585585,0.614849749077937
0.11,0.11,0.78,auc_roc,0.704388560157791,0.704388560157791,0.5354531235694886,0.6794871794871795,0.5585585585585585,0.614849749077937
0.12,0.03,0.85,auc_roc,0.704388560157791,0.704388560157791,0.5369314663857221,0.6794871794871795,0.5585585585585585,0.614849749077937
0.13,0.02,0.85,auc_roc,0.704388560157791,0.704388560157791,0.5367523473873734,0.6794871794871795,0.5585585585585585,0.614849749077937
0.11,0.2,0.69,auc_roc,0.7043885601577909,0.7043885601577909,0.5312224689126015,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.08,0.8,auc_roc,0.7043885601577909,0.7043885601577909,0.5328589248657227,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.09,0.79,auc_roc,0.7043885601577909,0.7043885601577909,0.5327275243401528,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.12,0.1,0.78,auc_roc,0.7043885601577909,0.7043885601577909,0.5325961238145829,0.6794871794871795,0.6115702479338843,0.6367203757655033
0.08,0.36,0.56,auc_roc,0.7043885601577909,0.7043885601577909,0.5302974581718445,0.6858974358974359,0.5982905982905983,0.6348096348096348
0.08,0.26,0.66,auc_roc,0.7043885601577909,0.7043885601577909,0.5320816840444293,0.6826923076923077,0.5789473684210527,0.6250901225666907
0.08,0.19,0.73,auc_roc,0.7043885601577909,0.7043885601577909,0.5342217057943344,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.09,0.81,auc_roc,0.7043885601577909,0.7043885601577909,0.5359014333784581,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.1,0.12,0.78,auc_roc,0.7043885601577909,0.7043885601577909,0.5352452260255813,0.6858974358974359,0.5714285714285714,0.6235521235521235
0.12,0.06,0.82,auc_roc,0.7043885601577909,0.7043885601577909,0.5362416467070579,0.6794871794871795,0.5585585585585585,0.614849749077937
0.11,0.18,0.71,auc_roc,0.7041420118343197,0.7041420118343197,0.5314852699637413,0.6794871794871795,0.6115702479338843,0.6367203757655033
