episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
AN_EP24,17,3,14,0.47058823529411764,0.5476190476190476,0.5714285714285714,0.23809523809523808,0.4117647058823529,2,1,8,6
YW_EP54,14,7,7,0.5714285714285714,0.5714285714285714,0.625,0.5918367346938775,0.6428571428571429,3,4,2,5
LS_EP9,30,10,20,0.6666666666666666,0.575,0.7727272727272727,0.635,0.8,3,7,3,17
AN_EP26,17,12,5,0.6470588235294118,0.575,0.4,0.5,0.29411764705882354,9,3,3,2
YW_EP47,25,7,18,0.64,0.5753968253968254,0.7428571428571429,0.5158730158730159,0.68,3,4,5,13
AN_EP27,16,10,6,0.5625,0.5833333333333333,0.5333333333333333,0.6333333333333333,0.5625,5,5,2,4
BRI_EP63,30,26,4,0.8333333333333334,0.5865384615384616,0.2857142857142857,0.6923076923076923,0.1,24,2,3,1
BRI_EP65,18,10,8,0.6111111111111112,0.5875,0.46153846153846156,0.6125,0.2777777777777778,8,2,5,3
YW_EP44,30,16,14,0.6,0.5892857142857143,0.5,0.71875,0.3333333333333333,12,4,8,6
SB_EP42,33,17,16,0.6060606060606061,0.5992647058823529,0.48,0.6139705882352942,0.2727272727272727,14,3,10,6
LS_EP11,24,9,15,0.5833333333333334,0.6,0.6153846153846154,0.7185185185185186,0.4583333333333333,6,3,7,8
LS_EP72,25,9,16,0.6,0.6145833333333333,0.6428571428571429,0.5069444444444444,0.48,6,3,7,9
LS_EP7,26,12,14,0.6153846153846154,0.6190476190476191,0.6153846153846154,0.5595238095238095,0.46153846153846156,8,4,6,8
AN_EP15,24,12,12,0.625,0.625,0.7096774193548387,0.6388888888888888,0.7916666666666666,4,8,1,11
YW_EP55,24,8,16,0.7083333333333334,0.625,0.8,0.6484375,0.7916666666666666,3,5,2,14
LS_EP75,13,3,10,0.6153846153846154,0.6333333333333333,0.7058823529411765,0.4,0.5384615384615384,2,1,4,6
LS_EP73,26,17,9,0.6923076923076923,0.6339869281045751,0.5,0.6470588235294118,0.2692307692307692,14,3,5,4
YW_EP70,21,16,5,0.7619047619047619,0.6375,0.4444444444444444,0.7250000000000001,0.19047619047619047,14,2,3,2
LS_EP13,24,11,13,0.625,0.6468531468531469,0.5263157894736842,0.5734265734265734,0.25,10,1,8,5
YW_EP43,22,7,15,0.6818181818181818,0.6523809523809523,0.7586206896551724,0.7047619047619048,0.6363636363636364,4,3,4,11
LS_EP5,22,14,8,0.6818181818181818,0.6696428571428572,0.5882352941176471,0.6071428571428571,0.4090909090909091,10,4,3,5
LS_EP76,18,14,4,0.7777777777777778,0.6785714285714286,0.5,0.8214285714285714,0.2222222222222222,12,2,2,2
YW_EP51,15,6,9,0.7333333333333333,0.6944444444444444,0.8,0.6481481481481481,0.7333333333333333,3,3,1,8
YW_EP48,20,9,11,0.7,0.7070707070707071,0.7,0.7575757575757576,0.45,7,2,4,7
BRI_EP61,34,15,19,0.7058823529411765,0.7087719298245614,0.7222222222222222,0.6035087719298246,0.5,11,4,6,13
AN_EP21,24,6,18,0.6666666666666666,0.7222222222222223,0.7333333333333333,0.7407407407407407,0.5,5,1,7,11
BRI_EP57,32,22,10,0.65625,0.7227272727272727,0.6206896551724138,0.7636363636363637,0.59375,12,10,1,9
LS_EP14,22,11,11,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6611570247933884,0.5,8,3,3,8
SB_EP41,20,5,15,0.8,0.7333333333333334,0.8666666666666667,0.7466666666666666,0.75,3,2,2,13
BRI_EP62,31,19,12,0.7741935483870968,0.7390350877192983,0.6666666666666666,0.5350877192982456,0.2903225806451613,17,2,5,7
AN_EP16,26,14,12,0.7307692307692307,0.7440476190476191,0.7586206896551724,0.7083333333333333,0.6538461538461539,8,6,1,11
AN_EP28,17,11,6,0.8235294117647058,0.75,0.6666666666666666,0.8787878787878788,0.17647058823529413,11,0,3,3
YW_EP45,26,7,19,0.7692307692307693,0.7518796992481203,0.8333333333333334,0.6842105263157895,0.6538461538461539,5,2,4,15
BRI_EP60,24,10,14,0.75,0.7714285714285715,0.75,0.8357142857142856,0.4166666666666667,9,1,5,9
YW_EP53,27,14,13,0.7777777777777778,0.771978021978022,0.7272727272727273,0.8461538461538461,0.3333333333333333,13,1,5,8
LS_EP2,19,8,11,0.8421052631578947,0.8295454545454546,0.8695652173913043,0.625,0.631578947368421,6,2,1,10
AN_EP20,16,5,11,0.875,0.8545454545454545,0.9090909090909091,0.9454545454545454,0.6875,4,1,1,10
AN_EP23,8,8,0,0.875,0.875,0.0,,0.125,7,1,0,0
LS_EP12,22,6,16,0.8636363636363636,0.90625,0.896551724137931,0.8541666666666666,0.5909090909090909,6,0,3,13
