episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
AN_EP17,18,8,10,0.5555555555555556,0.5625,0.5555555555555556,0.55,0.4444444444444444,5,3,5,5
YW_EP50,30,15,15,0.5666666666666667,0.5666666666666667,0.5806451612903226,0.5866666666666667,0.5333333333333333,8,7,6,9
SB_EP41,20,5,15,0.75,0.5666666666666667,0.8484848484848485,0.64,0.9,1,4,1,14
YW_EP70,21,16,5,0.7619047619047619,0.56875,0.2857142857142857,0.525,0.09523809523809523,15,1,4,1
LS_EP7,26,12,14,0.5769230769230769,0.5714285714285714,0.6206896551724138,0.5952380952380952,0.5769230769230769,6,6,5,9
LS_EP1,17,8,9,0.5882352941176471,0.5763888888888888,0.6666666666666666,0.4305555555555556,0.7058823529411765,3,5,2,7
BRI_EP58,34,12,22,0.5882352941176471,0.5871212121212122,0.65,0.6553030303030303,0.5294117647058824,7,5,9,13
LS_EP72,25,9,16,0.6,0.5902777777777778,0.6666666666666666,0.5902777777777778,0.56,5,4,6,10
LS_EP13,24,11,13,0.5833333333333334,0.5944055944055944,0.5454545454545454,0.7202797202797203,0.375,8,3,7,6
LS_EP5,22,14,8,0.5909090909090909,0.5982142857142857,0.5263157894736842,0.6160714285714286,0.5,8,6,3,5
SB_EP34,15,4,11,0.5333333333333333,0.6022727272727273,0.5882352941176471,0.6363636363636364,0.4,3,1,6,5
YW_EP53,27,14,13,0.6296296296296297,0.6318681318681318,0.6428571428571429,0.7307692307692307,0.5555555555555556,8,6,4,9
YW_EP51,15,6,9,0.6666666666666666,0.6388888888888888,0.7368421052631579,0.6851851851851852,0.6666666666666666,3,3,2,7
LS_EP2,19,8,11,0.631578947368421,0.6477272727272727,0.631578947368421,0.7840909090909091,0.42105263157894735,6,2,5,6
YW_EP48,20,9,11,0.65,0.6616161616161615,0.631578947368421,0.7878787878787878,0.4,7,2,5,6
BRI_EP60,24,10,14,0.625,0.6642857142857143,0.5714285714285714,0.75,0.2916666666666667,9,1,8,6
AN_EP15,24,12,12,0.6666666666666666,0.6666666666666666,0.75,0.7916666666666667,0.8333333333333334,4,8,0,12
AN_EP26,17,12,5,0.7058823529411765,0.675,0.5454545454545454,0.8,0.35294117647058826,9,3,2,3
LS_EP76,18,14,4,0.7777777777777778,0.6785714285714286,0.5,0.7678571428571428,0.2222222222222222,12,2,2,2
BRI_EP61,34,15,19,0.6764705882352942,0.6894736842105263,0.6666666666666666,0.7578947368421052,0.4117647058823529,12,3,8,11
SB_EP42,33,17,16,0.696969696969697,0.6911764705882353,0.6153846153846154,0.8014705882352942,0.30303030303030304,15,2,8,8
BRI_EP65,18,10,8,0.7222222222222222,0.7125,0.6666666666666666,0.6375,0.3888888888888889,8,2,3,5
YW_EP54,14,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,5,2,2,5
AN_EP27,16,10,6,0.6875,0.7166666666666667,0.6666666666666666,0.8833333333333334,0.5625,6,4,1,5
YW_EP55,24,8,16,0.7916666666666666,0.71875,0.8571428571428571,0.78125,0.7916666666666666,4,4,1,15
AN_EP21,24,6,18,0.6666666666666666,0.7222222222222223,0.7333333333333333,0.7037037037037037,0.5,5,1,7,11
AN_EP16,26,14,12,0.7307692307692307,0.7380952380952381,0.7407407407407407,0.7738095238095237,0.5769230769230769,9,5,2,10
AN_EP25,11,3,8,0.7272727272727273,0.8125,0.7692307692307693,0.75,0.45454545454545453,3,0,3,5
LS_EP75,13,3,10,0.7692307692307693,0.85,0.8235294117647058,1.0,0.5384615384615384,3,0,3,7
AN_EP20,16,5,11,0.9375,0.9545454545454546,0.9523809523809523,0.9636363636363637,0.625,5,0,1,10
AN_EP23,8,8,0,1.0,1.0,0.0,,0.0,8,0,0,0
