episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
BRI_EP62,31,19,12,0.5483870967741935,0.5087719298245614,0.36363636363636365,0.6228070175438597,0.3225806451612903,13,6,8,4
AN_EP18,23,8,15,0.5217391304347826,0.5166666666666666,0.5925925925925926,0.5166666666666666,0.5217391304347826,4,4,7,8
YW_EP47,25,7,18,0.56,0.5198412698412699,0.6666666666666666,0.45238095238095244,0.6,3,4,7,11
BRI_EP59,24,13,11,0.5416666666666666,0.520979020979021,0.35294117647058826,0.5174825174825175,0.25,10,3,8,3
SB_EP37,21,13,8,0.6190476190476191,0.5240384615384616,0.2,0.6538461538461539,0.09523809523809523,12,1,7,1
AN_EP19,21,6,15,0.6190476190476191,0.5333333333333333,0.7333333333333333,0.5333333333333334,0.7142857142857143,2,4,4,11
LS_EP73,26,17,9,0.6153846153846154,0.5490196078431372,0.375,0.7320261437908496,0.2692307692307692,13,4,6,3
YW_EP70,21,16,5,0.7619047619047619,0.56875,0.2857142857142857,0.6625,0.09523809523809523,15,1,4,1
LS_EP13,24,11,13,0.5416666666666666,0.5699300699300699,0.35294117647058826,0.7832167832167832,0.16666666666666666,10,1,10,3
AN_EP22,28,10,18,0.5357142857142857,0.5722222222222222,0.5517241379310345,0.5166666666666666,0.39285714285714285,7,3,10,8
LS_EP9,30,10,20,0.6333333333333333,0.575,0.7317073170731707,0.535,0.7,4,6,5,15
AN_EP26,17,12,5,0.6470588235294118,0.575,0.4,0.8500000000000001,0.29411764705882354,9,3,3,2
BRI_EP63,30,26,4,0.8333333333333334,0.5865384615384616,0.2857142857142857,0.6826923076923077,0.1,24,2,3,1
YW_EP44,30,16,14,0.6,0.59375,0.5384615384615384,0.6517857142857143,0.4,11,5,7,7
LS_EP11,24,9,15,0.625,0.6111111111111112,0.6896551724137931,0.674074074074074,0.5833333333333334,5,4,5,10
AN_EP17,18,8,10,0.6111111111111112,0.6125,0.631578947368421,0.35,0.5,5,3,4,6
YW_EP43,22,7,15,0.6363636363636364,0.6190476190476191,0.7142857142857143,0.7047619047619047,0.5909090909090909,4,3,5,10
SB_EP42,33,17,16,0.6363636363636364,0.6286764705882353,0.5,0.6985294117647058,0.24242424242424243,15,2,10,6
BRI_EP61,34,15,19,0.6176470588235294,0.6368421052631579,0.5806451612903226,0.6807017543859649,0.35294117647058826,12,3,10,9
BRI_EP65,18,10,8,0.6666666666666666,0.6375,0.5,0.6875,0.2222222222222222,9,1,5,3
YW_EP54,14,7,7,0.6428571428571429,0.6428571428571428,0.6153846153846154,0.4489795918367347,0.42857142857142855,5,2,3,4
SB_EP34,15,4,11,0.6,0.6477272727272727,0.6666666666666666,0.5909090909090909,0.4666666666666667,3,1,5,6
BRI_EP57,32,22,10,0.59375,0.65,0.5517241379310345,0.7136363636363636,0.59375,11,11,2,8
LS_EP7,26,12,14,0.6538461538461539,0.6547619047619048,0.6666666666666666,0.5357142857142858,0.5,8,4,5,9
LS_EP12,22,6,16,0.7272727272727273,0.65625,0.8125,0.84375,0.7272727272727273,3,3,3,13
SB_EP41,20,5,15,0.7,0.6666666666666666,0.7857142857142857,0.6533333333333333,0.65,3,2,4,11
LS_EP14,22,11,11,0.6818181818181818,0.6818181818181819,0.6956521739130435,0.628099173553719,0.5454545454545454,7,4,3,8
AN_EP27,16,10,6,0.6875,0.6833333333333333,0.6153846153846154,0.7666666666666666,0.4375,7,3,2,4
BRI_EP58,34,12,22,0.6764705882352942,0.6931818181818181,0.717948717948718,0.6363636363636364,0.5,9,3,8,14
YW_EP51,15,6,9,0.7333333333333333,0.6944444444444444,0.8,0.7407407407407408,0.7333333333333333,3,3,1,8
